İl	İlçe	Köy	Merkeze uzaklık (km)	Birincil Öncelik	İkincil	Üçüncül	Telefon	Çocuk	Kadın	Yetişkin	Yaşlı	Hane	Yıkılan	Bilgi Alınan Vakit	Ek
Kahramanmaraş	Pazarcık	Karaağaç	50.51	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	Diğer				400				14/02/23 08:14	GÜNCEL EKSİK: 15 çadır gelmiş ama yetmemiş. Kuru gıda, su, çadır lazım. Hep Küçük çocuk bezi gelmiş. 3 engelli var. Hasta bezi lazım.   /// nüfus 400 gelenlerle 500-600 bulmuş.
Kahramanmaraş	Onikişubat	Kahramanmaraş, On Iki Şubat Şahinkayası	14.21	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)								40	12/02/23 11:48	"Mahalle içi obada mezrada olan yerlere kapalı. Muhtarın aracı var. 50 tane çadır geldi sadece. 3000 kişi var. Hasarlı bina oranı %70. Ortalama toplam 500 hayvan telef oldu.
Sulak bölge riskli.
"
Kahramanmaraş	On Iki Şubat	Sadıklı	45.17	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)									12/02/23 11:36	Muhtar sadece ihtiyacı olan şeyleri söyledi geri kalanlar hakkında bilgi verilmedi
Hatay	Kırıkhan	Topboğazı	28.63	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)		300			100	100		13/02/23 18:24	Nüfusu 500 idi fakat şu an 3000'i buldu. 10 ahır yıkılmış, 30 büyükbaş telef olmuş. Araç sıkıntısı yok ama yakıt sıkıntısı var. Yollar açık fakat hastaneler iş yapmıyor.
Hatay	Kırıkhan	Yılanlı	41.05	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Hijyen ve sağlık( Ped, bebek be		10		200			3	13/02/23 18:13	Hane sayısı belirtilmedi. Hasarlı bina sayısı tespit edilmemiş. Hastaneye erişilemiyor; yollar kapalı. İş makinesine ihtiyaç var. Araçlar için yakıta ihtiyaç var.
Hatay	Kırıkhan	Torun	40.03	Barınma (Çadır, konteyner gibi)				30		200	10	40	4	13/02/23 18:03	Telef olan hayvan sayısı az olarak ifade edildi
Hatay	Kırıkhan	Yalangoz	51.94	Barınma (Çadır, konteyner gibi)	Diğer							350	0	13/02/23 17:57	
Hatay	Kırıkhan	Taşoluk	51.84	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)	Barınma (Çadır, konteyner gibi)							40	13/02/23 16:43	Su sorunu var. Büyükşehir müdahale etmiyormuş. 
Kahramanmaraş	Pazarcık	Hanobası	58.88	Isınma (El sobası, battaniye)	Kıyafet(Ayakkabı, çorap, iç çam	Gıda (ekmek,su,paketli gıda)				80				13/02/23 19:34	"Hayvan sayısı veremiyor. Göçük altında hayvanlar var.
Muhtarda göçük altından çıkmış .Yaralı kol ve bacağında sorun var."
Kahramanmaraş	Onikişubat	Reyhanlı	37.83	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)		30	80	250	20		0	13/02/23 19:08	bi kaç çadıra ihtiyaç duyuyorlar. az çok yardım olursa diye bekliyolar.
Adıyaman	Samsat	Yarımbağ	29.41	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)						100	0	13/02/23 19:05	köy 2016'daki depremden sonra konteyner evlerde yaşamaya başlamış o yüzden hasarlı veya yıkılan bina yok. Fakat merkezden gelenlerle konteynerlerda 20-25 kişi yaşıyormuş. Bu yüzden çadır ihtiyaçları var. Ekstra insan geldiği için de gıda, kıyafet ihtiyaçları var. Yatalak hastalar ve bebekler için bez isteniyor.
Adıyaman	Samsat	Gölpınar	25.91	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)							30	0	13/02/23 19:03	normalde köy nüfusu 120 ama depremden dolayı köylere gelenlerle 200 kişi olmuş, ilk günden beri gıda-çadır istiyorlarmış henüz gelmemiş.
Adıyaman	Samsat	Çiçek	25.12	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)						80	5	13/02/23 19:00	merkezlerden gelenlerle 500 kişiyi geçmiş nüfus, önceden olan depremden dolayı var olan evlerin büyük bir kısmı konteyner evmiş
Adıyaman	Samsat	Akdamar	23.50	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)							25	0	13/02/23 18:56	köy normalde 150 kişilikmiş merkezlerden gelenler olduğundan nüfus 300 kişiyi geçmiş bu yüzden çadıra ihtiyaç var.
Adıyama	N	Gerger	65.17	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)			50			15			13/02/23 18:24	köy kalmamış hiç herkes sadece sağ olduğuyla ilgileniyor. sabah köye gelip akşam köyü boşaltıyolar. acil kuru gıda ve konteyner ihtiyacı var. : 25 enkaz altında kalan büyükbaş, 4 tane küçükbaş kalmış. binaların hepsi yıkılmış. 230 nüfuslu.
Adıyaman	Gerger	Ağaçlı	57.98					50			50		0	13/02/23 18:20	250 civarı nüfus var. hasarlı az bina var, test yapılmamış.
Kahramanmaraş	Pazarcık	Eğlen	56.69	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)					135			38	13/02/23 18:02	"5 çadır ihtiyaç 
toplam 44 hanenin 38 i yıkılmış gerisi hasarlı"
Kahramanmaraş	Pazarcık	Evri Taşbiçme	61.96							1000			80	13/02/23 17:59	normalde 1000 nüfus şuan 3000
Kahramanmaraş	Pazarcık		52.70	Barınma (Çadır, konteyner gibi)						6400			55	13/02/23 17:24	"küçük baş ve büyükbaş telef hayvanlar var
binaların hepsi hasarlı "
Hatay	Kırıkhan	Sucu	46.14	Gıda (ekmek,su,paketli gıda)				50		500	20		0	13/02/23 17:04	Aciliyet durumu yok sadece kuru gıda gerekliymiş
Adıyaman	Çelikhan	Korucak	31.12					50		250	20		10	13/02/23 14:44	yollarda heyelan riski bulunmakta
Osmaniye	Düziçi	Çiftlik	23.81					200	800	800	20		0	13/02/23 13:08	çok az bilgi alınabilmiş.
Osmaniye	Düziçi	İrfanlı	28.15	Gıda (ekmek,su,paketli gıda)	Gıda (ekmek,su,paketli gıda)	Hijyen ve sağlık( Ped, bebek be		3000	2000		1000		0	13/02/23 13:04	yaklaşık 10000 nüfus. 
Osmaniye	Düziçi	Çamiçi	23.66	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Kıyafet(Ayakkabı, çorap, iç çam		800	600		60		5	13/02/23 13:01	nüfus 2000 civarı
Osmaniye	Düziçi	İstiklal	26.15	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)							1	13/02/23 12:59	geçen yıl 2230 nüfus, bu yıl bilinmiyor.
Osmaniye	Düziçi	Uzun Banı	25.09	Hijyen ve sağlık( Ped, bebek be									3	13/02/23 12:14	"nüfus 5000 civarı. gerekli kurumlar eksikleri gideriyor, yardımlardan temin ediliyor, ihtiyaçlarımızı belirtebiliyoruz .gündüz evlere girilip çıkılabiliyor, gece yatılamıyor sadece. 

"
Osmaniye	Düziçi	Hürriyet	26.93					1500			1000		0	13/02/23 12:11	4000 nüfusa sahip. 1 adet tekerlekli sandalye ihtiyacı var.
Osmaniye	Düziçi	Boğaziçi	26.61	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)							2	13/02/23 12:05	randevulu sistemin kalkması, kızılay başkanı iletişim sıkıntısı var, muhtarlarla iletişim kurulması talep ediliyor. Mahalle sakinlerinin dışarıdan gelen akrabaları yanına yerleşmiş insanların bunun için destek gerekmekte. 60000 toplam nüfus olduğu bilinmekte.
Osmaniye	Düziçi	Karşıyaka	25.38	Barınma (Çadır, konteyner gibi)									0	13/02/23 11:58	sosyal yardımlaşma vakfından isteklerini temin ediyorlar. ihtiyaçlar genel olarak karşılanıyor. genellikle memurlar, askerler polisler var. insanların cenazeleri var. diğer illerden gelen insanlar müstakil kiralık ev çadır sıkıntısı var. yarın itibariyle birçok iş yerlerimiz açık. muhtarın kanaatince çok bir sıkıntı yok diğer illere göre 
Osmaniye	Düziçi	Karkın	27.41	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Hijyen ve sağlık( Ped, bebek be		300	216		85	4000	0	13/02/23 11:51	"kısmen hastaneye erişim var. patlamanın etkisiyle kapandı yol tek araçlık açıldı. yollar hep patladı, hava şartlarından dolayı buzul ve kayıyor. 
misafir olarak gelenlerin kıyafetleri yok, yetersiz. battaniye vs. yetersiz. "
Osmaniye	Düziçi	Karlıca	27.41	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		30	30		22		0	13/02/23 11:05	
Hatay	Kırıkhan	Saylak	51.67	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Diğer		50						13/02/23 06:13	Çadır aciliyeti var
Hatay	Kırıkhan	Özsoğuksu	32.10	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)			100		500	100		60	13/02/23 06:10	Araç için yakıt sıkıntısı var 
Hatay	Kırıkhan	Özkızılkaya	38.44	Barınma (Çadır, konteyner gibi)	Diğer								0	13/02/23 06:07	Araçlar için yakıt sıkıntısı var. Aciliyette ilaca ihtiyaç var
Hatay	Kırıkhan	Narlıhöbür	57.66	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)								4	13/02/23 06:00	Yaklaşık 200 kişi nüfus fakat 700'e yaklaşmış. Hasar çok olmadığı söylendi. Koordinasyon konusunda kopukluklar ve çok fazla kıyafet yardımı gelmiş. Kuru gıda ihtiyacı şu an yok ama ileride ihtiyaç duyulacak.
Hatay	Kırıkhan	Muratpaşa	40.82	Barınma (Çadır, konteyner gibi)									0	13/02/23 05:51	Şehirden köye gelen çok var. Nüfus 300 iken dışarıdan 1500 kişi gelmiş. Römorkların içinde kalanlar var, çadır gerekli. Hasarlı birkaç bina var. 
Hatay	Kırıkhan	Kurtlusoğuksu	34.05	Barınma (Çadır, konteyner gibi)								600	25	13/02/23 05:47	İnsanlar evlerine giremiyor ve bireysel çadır isteniyor. 600 küsur hane ve yaklaşık 2000 nüfus var, detaylı bilinmiyor. Binaların %70'i hasarlı. Telef olan birkaç küçükbaş hayvan var
Hatay	Kırıkhan	Mahmutlu	38.04	Barınma (Çadır, konteyner gibi)			05323119267	60		600	15		5	13/02/23 05:44	
Hatay	Kırıkhan	Kodallı	43.82	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)								30	13/02/23 05:40	3000 nüfusa sahip olduğunu söylendi fakat detaylı bilinmiyor. Gıdaların zamana yayılarak ihtiyaca göre dağıtılması ve gıda paketlerinin koli halinde olması, su kesintisinin giderilmesi gerekliliği söylendi 
Hatay	Kırıkhan	Karamağara	43.91	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)		50		400	50		20	13/02/23 05:33	Acil olan çadır ihtiyacı 
Gaziantep	Nurdağı	Demirler	39.89				05330346935							12/02/23 13:21	GUNCEL EKSIK: Elektrik yok
Gaziantep	Nurdağı	İncirli	43.79				05356235605							12/02/23 13:08	GUNCEL EKSIK: YOK
Hatay	Kırıkhan	Karaelmaslı	48.67	Barınma (Çadır, konteyner gibi)				25	150	300	30		40	12/02/23 22:26	Acil çadır ihtiyacı var, gıda ihtiyacı yok. Engelli bireyler için doktor gelmiş ve ilaçlarını yazmış, engel durumları kaydedilemedi.
Malatya	Yeşilyurt	Kendirli	9.14				05305009629							12/02/23 14:59	GUNCEL EKSIK: Çadır, Gıda ve Isınma Malzemesi
Malatya	Yeşilyurt	Karahan	17.54				05353858827							12/02/23 14:55	GUNCEL EKSIK :Çadır ve Gıda Malzemesi
Malatya	Yeşilyurt	Atalar	19.60											12/02/23 16:22	GUNCEL EKSIK: acil ihtiyaç yok
Malatya	Yeşilyurt	Aşağıköy	38.10											12/02/23 16:18	GUNCEL EKSIK: Çadır, Isıtıcı
Malatya	Yeşilyurt	Aşağıbağlar	2.66				05305009625							12/02/23 14:22	GUNCEL EKSIK: (ACİL) Gıda, Su, Isınma, Barınma ve İlaç
Malatya	Yeşilyurt	Tepeköy	12.95				05334159172							12/02/23 14:19	GUNCEL EKSIK: Su(Acil), Gıda, Isınma, Temizlik Malzemesi
Malatya	Akçadağ	Yukarıörükcü	26.95	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05357934977					160		12/02/23 20:03	400-500 kişi yaşıyor.
Malatya	Akçadağ	Yaylımlı	35.45	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)		05377619516						10	12/02/23 20:00	nüfus 350 ama 1000 kişi olmuş
Malatya	Akçadağ	Yalınkaya	37.40	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)		05343210130					120	35	12/02/23 16:00	GUNCEL EKSIK: Çadır gıda malzemesi (Durumu Acil 3 Hasta Bulunmaktadır)////10-15 aile yaşıyor
Malatya	Akçadağ	Yalınbudak	31.15	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)		05343210130					6	3	12/02/23 19:56	
Malatya	Akçadağ	Yağmurlu	22.23	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05377754292					450	15	12/02/23 19:53	2500-3000 kişi yaşıyor.yardım gelmiş
Kahramanmaraş	Onikişubat	Muratlı	42.54				05368138052							12/02/23 19:52	İstanbuldan yardım gitmiş hiçbir şeye ihtiyaçları yok teşekkür ediyolar
Malatya	Akçadağ	Tataruşağı	42.23	Gıda (ekmek,su,paketli gıda)	Gıda (ekmek,su,paketli gıda)		05355751978					150	3	12/02/23 19:49	50 aile yaşıyor
Kahramanmaraş	Onikişubat	Öztürk	42.69	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	Hijyen ve sağlık( Ped, bebek be	05373906698				40			12/02/23 19:49	Muhtar herkes yardım soruyor fakat gelmiyo diyor 
Malatya	Akçadağ	Taşolar	49.62	Barınma (Çadır, konteyner gibi)			05369760677					100	20	12/02/23 19:47	200 kişi yaşıyor. tek kişilk 15 çadır gerekli
Kahramanmaraş	Onikişubat	Payamlı	23.23	Gıda (ekmek,su,paketli gıda)	Kıyafet(Ayakkabı, çorap, iç çam		05342655812	20	80	50	25		15	12/02/23 19:46	
Malatya	Akçadağ	Şeyler	19.42	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	Hijyen ve sağlık( Ped, bebek be	05303464634						2	12/02/23 19:44	normalde 725 kişi şu an 4000-5000 kişi. yardım gelmiş ama yetersiz
Hatay	Belen	Şenbük	27.10	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)			500					7	12/02/23 19:44	KÜÇÜKBAŞ BÜYÜKBAŞ HAYVANLAR İÇİN YEM İHTİYACI GEREKİYOR. TEMİN EDEBİLECEKLERİ ALANLAR KAPALI OLDUĞU İÇİN TEMİN EDİLEMİYOR. (ACİL)
Malatya	Akçadağ	Sarıhacı	38.77	Isınma (El sobası, battaniye)	Barınma (Çadır, konteyner gibi)		05358565024					295	2	12/02/23 19:31	250 kişi var. binaların %80'i hasarlı. yardım gelmiş.ısıtıcı battaniye, 2-3 tane konteynır acil ihtiyaç
Hatay	Belen	Şekere Karapelit	37.90	Hijyen ve sağlık( Ped, bebek be	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)	05542946195	300					5	12/02/23 19:41	DEPREMDEN SONRAKİ GENEL NÜFUS: 7000
Hatay	Belen	Ötençay	25.83	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)					3500				12/02/23 19:39	YARDIMLAR YANLIŞ YÖNLENDİRİLMİŞ. BİRİNCİL İHTİYAÇLARI ÇADIR, KURU GIDA VE TÜP.
Hatay	Belen	Müftüler	33.17	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)			30		750				12/02/23 19:36	
Hatay	Belen	Kömürçukuru	25.37	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)			100		700			47	12/02/23 19:33	"YÜRÜME ENGELLİ BİREY AKÜLÜ TEKERLEKLİ SANDALYESİNDE SIKINTI OLDUĞU İÇİN TEMEL İHTİYAÇLARINI KARŞILAMA ZORLUK ÇEKMEKTEDİR.
BİLGİLERİ:SAMET YUTMAZ -21 YAŞINDA 
"
Hatay	Belen	Kıcı	32.59	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)					950		300		12/02/23 19:31	ÖNCELİKLİ OLARAK ÇADIRA İHTİYAÇ VAR.
Hatay	Belen	Çerçikaya	24.85	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)									12/02/23 19:30	YOLLARDA BOZULMALAR MEVCUT. 
Malatya	Akçadağ	Sakalıuzun	40.13	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)		05355782643					21	4	12/02/23 19:20	55 kişi yaşıyordu, il dışına gidenler oldu 12 kişi kaldı.
Malatya	Yazıhan	Tecirli	17.46				05356226295							12/02/23 18:17	GUNCEL EKSIK: Çadır, elektrikli ısıtıcı, battaniye
Hatay	Belen	Çakallı	30.13	Gıda (ekmek,su,paketli gıda)						350		70	10	12/02/23 19:24	 5 TANE KONTEYNER EV BÖLGE YÜKSEK DAĞLIK ALANDA ( RÜZGAR ALAN BİR BÖLGE) OLDUĞU İÇİN ÇADIR YETERLİ GELMEMEKTEDİR.
Hatay	Belen	Benlidere	27.48	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)									12/02/23 19:21	"DEPREMDEN SONRA GENEL NÜFUS: 1000
ÖNCELİKLİ İHYAÇLARI ÇADIR. MERKEZ BÖLGELERDEN KÖYLERE GELİNDİĞİ İÇİN NÜFUSTA ARTIŞ YAŞANMAKTADIR.
"
Hatay	Belen	Atik	34.54	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)								2	12/02/23 19:18	yakacak ve çadır acil ihtiyaç
Malatya	Akçadağ	Sahilköy	27.53	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Gıda (ekmek,su,paketli gıda)	05362427097					90	9	12/02/23 19:09	500 kişi yaşıyor
Malatya	Akçadağ	Resuluşağı	33.67				05436464551					200		12/02/23 19:06	100-150 kişi yaşıyor. 20-30 ev girilemez halde. çadır gelmiş, afad gelmiş.
Malatya	Akçadağ	Ören	35.86	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)	Hijyen ve sağlık( Ped, bebek be	05378523035					850		12/02/23 19:02	2000 nüfus, evlerin %90'ı yıkılmış. elektrik ve su  yok. telef olan hayvanlar var ama sayısı bilinmiyor. yardım gelmiş.
Malatya	Akçadağ	Ortaköy	44.70	Gıda (ekmek,su,paketli gıda)	Gıda (ekmek,su,paketli gıda)		05375405179					140	10	12/02/23 16:32	nüfus 150
Hatay	Reyhanlı	Uzunkavak	31.61	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05327784302							09/02/23 20:52	25-30 KİŞİ ENKAZ ALTINDA.
Hatay	Reyhanlı	Uzunkavak	31.61	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)	05327784302							12/02/23 14:00	GÜNCEL EKSİK: ACİLEN ÇADIR, SU, JENARATÖR İHTİYACI VAR. SU DEPOLARI VE GÜNEŞ ENERJİLERİ YIKILMIŞ
Malatya	Doğandemir	Sürgü	48.09											12/02/23 14:30	GUNCEL EKSİK: kuru temel gıda
Malatya	Doğandemir	Küçüklü	67.05				05377301198							12/02/23 14:03	GUNCEL EKSİK: YOK
Malatya	Doğanşehir	Karaterzi	40.24				05373889473							12/02/23 13:59	GUNCEL EKSİK: 40 Çadır acil kuru gıda
Malatya	Doğanşehir	Çavuşlu	51.44				05453191893							12/02/23 13:07	GUNCEL EKSİK: kuru gıda, hijyen,bataniye, ısışkalndırma, power bank
Malatya	Akçadağ	Büyükçimiş	33.21				05068191863							12/02/23 11:28	GUNCEL EKSİK: Çadır, kuru gıda
Hatay	Samandağ	Koyunoğlu	16.76				05374833231	1500		2500	2000		100	12/02/23 16:48	
Hatay	Samandağ	Kapısuyu	21.46	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05382916634			1700	300		6	12/02/23 16:45	" Su yok ama yapmaya çalışıyorlar. Yardım ulaşmış, ama hala kuru gıda, çadır ve mazota ihtiyaçları var. 
"
Malatya	Akçadağ	Bekiruşağı	52.82				05327369530							12/02/23 11:23	GUNCEL EKSİK: YOK
Hatay	Samandağ	Huzurlu	10.53	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05367711263	600		1100	300			12/02/23 16:43	çadıra ihtiyaç var
Hatay	Samandağ	Fidanlı	13.76	Gıda (ekmek,su,paketli gıda)			05322656033	300		700	20		2	12/02/23 16:41	hasarlı bina tespiti yapılıyor.
Malatya	Akçadağ	Bahri	22.10	Gıda (ekmek,su,paketli gıda)	Barınma (Çadır, konteyner gibi)					5000		1000	500	14/02/23 07:05	GÜNCEL EKSİK: yağ, şeker, kuru gıda, çay, un, çadır    //////  hastaneye erişim var ama hastanede yer yok. araç sıkıntısı yok ama yollar kalabalık. az önce hayvan yemi yardımı için tır geldi. şu an nüfus 5000, önceden 2500.
Hatay	Samandağ	Değirmenbaşı	12.87				05355451418	1600		1800	1600		6	12/02/23 16:39	
Hatay	Samandağ	Çubukçu	11.41	Gıda (ekmek,su,paketli gıda)			05364691072	150	20	550				12/02/23 16:36	minareleri sallanıyor, yıkılmak üzere acil yardım istiyorlar
Malatya	Akçadağ	Aydınlar	21.14							600			7	14/02/23 06:37	GÜNCEL EKSİK: Çadır, temel kuru gıda
Malatya	Akçadağ	Aksüt	48.09				04224251044							12/02/23 10:53	GUNCEL EKSİK: Tüp
Adıyaman	Çelikhan	Mutlu	29.68					100	50	100	30		55	12/02/23 16:29	acil
Adıyaman	Çelikhan	Köseuşağı	29.48	Barınma (Çadır, konteyner gibi)	Teknik yardım (Powerbank,el fen	Gıda (ekmek,su,paketli gıda)		40	90	160	30		10	12/02/23 16:25	yakıt, benzin ihtiyacı var.
Adıyaman	Çelikhan	Kalecik	37.08					0	4	11	4		0	12/02/23 16:21	
Hatay	Smandağ	Büyükoba	18.91	Gıda (ekmek,su,paketli gıda)	Hijyen ve sağlık( Ped, bebek be		05355763386	80		300	50			12/02/23 16:15	"minare sallanıyor, yıkılmak üzere acil yardım istiyorlar.
yardım az ulaşmış 
"
Hatay	Samandağ	Ataköy	10.43	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05383387400			2000		40		12/02/23 16:04	yardım az ulaşmış çadır ve gıda ihtiyaçları var
Hatay	Samandağı	Arpalıuşağı	68.11	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05372779341	100		570	20			12/02/23 16:01	" Elektrik bugün gelecekmiş. 20 cm kar var. Çadıra ve kuru gıdaya ihtiyaç var. Daha önce giysi ve su yardımı yapılmış.""
"
Malatya	Doğanşehir	Yuvalı	36.94	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05362902771							12/02/23 14:04	GUNCEL EKSIK: Çadır temel gıda kuru gıda tüp ////protezli, dikişi alınması gereken bir hasta var
Malatya	Doğanşehir	Yolkoru	46.38	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05395070634							12/02/23 14:35	GUNCEL EKSİK :Çadır temel gıda kuru gıda
Malatya	Doğanşehir	Şatırobası	43.06	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)	Kıyafet(Ayakkabı, çorap, iç çam	05353688160							12/02/23 15:48	TÜP 
Malatya	Doğanşehir	Suçatı	33.87	Barınma (Çadır, konteyner gibi)	Gıda (ekmek,su,paketli gıda)		05323037852							12/02/23 14:25	GUNCEL EKSİK: Çadır
Malatya	Doğanşehir	Savaklı	49.40	Gıda (ekmek,su,paketli gıda)	Isınma (El sobası, battaniye)	Barınma (Çadır, konteyner gibi)	05362870980							12/02/23 14:02	GUNCEL EKSİK: 30 Çadır ve hayvan yemi ////Abuzer Kaya- beyninde tümör varmuhtar notu: gıdalar paketli olmalı eşit dağıtım için
Malatya	Doğanşehir	Reşadiye	48.56	Barınma (Çadır, konteyner gibi)	Isınma (El sobası, battaniye)		05302629698							12/02/23 14:15	GUNCEL EKSİK: Çadır
Malatya	Doğanşehir	Polatderesi	39.79	Barınma (Çadır, konteyner gibi)	Barınma (Çadır, konteyner gibi)	Barınma (Çadır, konteyner gibi)	05452494899							12/02/23 14:11	GUNCEL EKSİK: Çadır ////barınma acil ihtiyaç çok fazla kapalı yol var
