İl,İlçe,Köy,Merkeze uzaklık (km),Birincil Öncelik,İkincil,Üçüncül,Telefon,Çocuk,Kadın,Yetişkin,Yaşlı,Hane,Yıkılan,Bilgi Alınan Vakit,Ek
Malatya,Battalgazi,Üzümlü,9.60,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,05384389954,,,,,,1,15/02/23 21:43,"nüfus 450'den 500. yüzde 40 hasarlı. gıda ihtiyacı ve kömür. 3 küçükbaş telef. hayvanlar saman ve besin lazım. 3 ahır yıkıldı. 1 bina yıkıldı, can kaybı yok."
Adıyaman,Kahta,Çardak,32.81,"Gıda (ekmek,su,paketli gıda)",,,05412891425,,,,,39,18,15/02/23 21:37,"Nüfus 350'ye yaklaştı. 28 çadırları var. Gıda dışında pek bir ihtiyaçları kalmadığını belirtildi. Devlet hastanesinin yanındaki eczanede ilaç kalmamış, grip olan çok kişi var fakat ilaç yokmuş "
Malatya,Battalgazi,Uluköy,21.54,,,,,,,,,,0,15/02/23 21:41," 250 nüfus, artacak.  5-10 çadır kuru gıda. yardım gelmedi. "
Malatya,Battalgazi,Toygar,15.40,,,,05362271911,,,,,,,15/02/23 21:39,500 nüfus.  2 ağır hasarlı. yardım geldi. 1 engelli
Malatya,Battalgazi,Tanışık,23.26,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,05367260267,,,,,,0,15/02/23 21:38,nüfus 200 den 500. ihtiyaç gıda ve kömür. 
Malatya,Battalgazi,Selvidağ,18.21,"Barınma (Çadır, konteyner gibi)",,,05422301844,,,,,,0,15/02/23 21:36,17 kişi 62 olmuş. kerpiç evlerden oluştuğu için hepsi çatlak fakat kalmaya devam ediyorlar. çadır ihtiyacı var.
Adıyaman,Kahta,Çamlıca,38.82,,,,,,,,,47,4,15/02/23 21:34,Nüfus yaklaşık 300'den 400'e çıkmış. Çadırlar gelmiş. Muhtar şu an için ihtiyacı kalmadığını belirtti
Kahramanmaraş,Göksun,Yoğunoluk,43.79,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,,,,,,,14/02/23 17:28,88 kişi olan köy nüfusu an itibariyle 30 kişidir.
Malatya,Battalgazi,Pelitli,26.39,,,,05337059327,,,,,,0,15/02/23 21:35,400 olan nüfus 500e çıkmış. 2 hasarlı bina var. köye yardım gelmedi.
Malatya,Battalgazi,Kuluşağı,21.06,"Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,,15/02/23 21:32,"600 olan nüfus 3000'in üzerine çıkmış. hasar kaydı tespit ekibi yeni girmiş köye, şimdilik 5 bina ağır hasarlı tespit edilmiş, yarın belli olacak. İnsan sayısı arttığı ve gelirken yanlarına kıyafet almadıkları için yardıma ihtiyaçları var. Çadır, giysi öncelikli."
Kahramanmaraş,Göksun,,41.39,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,80,,14/02/23 17:20,köyün nüfusu 366 iken güncel nüfus 150 kişi kadardır.
Malatya,Battalgazi,Karakaşçiftliği,11.55,,,,05309352224,,,,,,,15/02/23 21:31,nüfus 300'den 900'e çıkmış. geri kalan her şey stabil.
Malatya,Battalgazi,Kapıkaya,22.37,,,,05364576911,,,,,,0,15/02/23 21:27,nüfus 850'den 1600'e çıkmış. hasarlı olan tek bina kontrollü yıkılmış. yardım gelmiş.
Kahramanmaraş,Göksun,Yeşilköy,27.43,Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",05312979324,,,,,7,,14/02/23 17:15,Güncel nüfus 60 kişi.
Adıyaman,Kahta,Çaltılı,19.93,,,,,,,,,75,24,15/02/23 21:10,Kızılay 18 çadır yardımı yapmış. Nüfus güncel durumda 500'ü geçkin fakat herkese yetiyor çadır. Muhtar bir ihtiyaçları kalmadığını söyledi.
Adıyaman,Kahta,Göçeri,38.03,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,05412891425,,,,,,12,15/02/23 21:25,"20 aile nüfus gelmiş. giysi istemiyorlar, çadıra ihtiyaç var. 8 çadır ve kuru gıda ihtiyacı var."
Kahramanmaraş,Göksun,Yeniyapan,43.74,,,,,,,,,,2,14/02/23 17:05,
Adıyaman,Kahta,Geldibuldu,49.40,"Barınma (Çadır, konteyner gibi)",,,,,,,,,0,15/02/23 21:21,"hasarlı bina var, sayısı belli değil. nüfus 1000. 15 çadır ihtiyacı var."
Adıyaman,Kahta,Fıstıklı,36.63,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,,,,,,10,15/02/23 21:17,"birçok ev hasarlı. 250-300 nüfus var. 17 çadır kurulmuş daha ailelerin geleceğini çadıra ihtiyaç olacağını belirtti. yakacak ve kurugıdaa ihtiyaç var, acil."
Adıyaman,Kahta,Eskitaş,41.33,,,,,,,,,,,15/02/23 20:01,çoğu ev yıkılmış ve hasarlı.  600 nüfus var. 100 aile köye gelmiş. girilebilir ev yok. bütün ihtiyaçlar giderilmiş.
Kahramanmaraş,Göksun,Yantepe,36.21,Diğer,,,05356620135,,,,,180,15,15/02/23 16:12,
Kahramanmaraş,Göksun,Yağmurlu,39.44,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,,,14/02/23 17:01,
Adıyaman,Kahta,Büyükbejyan,40.76,"Barınma (Çadır, konteyner gibi)",,,,170,,150,10,30,10,15/02/23 21:01,"Çadır için bir kurumla konuşulmuş, 6 tane gelecekmiş daha gelmemiş. Genel olarak başka bir ihtiyaç yok. Engelli çocuklar için bakım ürünleri gerekiyor"
Kahramanmaraş,Pazarcık,Yumaklıcerit,66.66,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,05383911779,,,,,,,15/02/23 21:07,"Güncel Nüfus: 16000
Çadır İhtiyacı: 200"
Kahramanmaraş,Göksun,Temürağa,36.53,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,14/02/23 17:32,Güncel nüfus 150
Kahramanmaraş,Pazarcık,Ufacıklı,60.43,,,,05443617459,,,,,,0,15/02/23 21:05,"Gücel Nüfus: 3500
Çadır İhtiyacı: 300"
Kahramanmaraş,Pazarcık,Tilkiler,64.61,"Gıda (ekmek,su,paketli gıda)",Tıbbi yardım malzemeleri,,05398976644,,,,,,,15/02/23 21:03,"Güncel Nüfus: 2000
Çadır ihtiyacı yok"
Kahramanmaraş,Göksun,Tahirbey,50.65,"Hijyen ve sağlık( Ped, bebek be","Isınma (El sobası, battaniye)",Diğer,,,,,,,,14/02/23 17:25,Güncel nüfus 55 kişi.
Kahramanmaraş,Pazarcık,Şahintepe,49.28,"Gıda (ekmek,su,paketli gıda)",,,05386793891,,,,,,162,15/02/23 20:52,"Güncel Nüfus: 900
Çadır ihtiyacı: 150 
"
Kahramanmaraş,Göksun,Soğukpınar,46.13,"Barınma (Çadır, konteyner gibi)",,,05418970690,,100,,,,0,14/02/23 17:20,
Kahramanmaraş,Göksun,Sırmalı,44.18,"Kıyafet(Ayakkabı, çorap, iç çam",Tıbbi yardım malzemeleri,"Hijyen ve sağlık( Ped, bebek be",,,,,,,,14/02/23 17:00,
Kahramanmaraş,Pazarcık,Narlı (Cumhuriyet),51.34,,,,05336425307,,,,,,18,15/02/23 20:49,"Güncel Nüfus: 2100
Çadır ihtiyacı: 60 "
Kahramanmaraş,Pazarcık,Memişkahya,55.55,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",Tıbbi yardım malzemeleri,05443617459,,,,,,2,15/02/23 20:45,"Güncel Nüfus:300
Çadır:20
Yıkılan bina sayısı 2 fakat tüm köy hasarlı"
Kahramanmaraş,Göksun,Saraycık,34.27,"Barınma (Çadır, konteyner gibi)",,,05312979324,,,,,85,35,14/02/23 16:45,Mahallede 82 hane varmış ama herkes terk etmiş. Şu an 24 kişi kalmış. Konteyner gelirse bölgeye geri dönebileceklerini söyledi.
Kahramanmaraş,Pazarcık,Keleş,62.41,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,05326904223,,,,,,2,15/02/23 20:40,"Güncel Nüfus: 1500
Çadır İhtiyacı: 30
bugün bütün yiyecek ve giyecekleri yanmış ateş çıkmış/ çadırlara ısıtıcı/ çok acil 30 çadır ama 70 olsa daha iyi olur"
Kahramanmaraş,Göksun,Payamburnu,47.92,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,,30,,,55,0,14/02/23 16:51,Köyün güncel nüfusu 60
Kahramanmaraş,Pazarcık,Ganidağıketiler,62.53,"Barınma (Çadır, konteyner gibi)",,,05337416727,,,,,,,15/02/23 20:38,"Gücel Nüfus: 500
Çadır İhtiyacı: 15 "
Kahramanmaraş,Göksun,Mürselköy,53.20,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,80,,,35,,14/02/23 18:33,Köyün nüfusu 200 olsa da güncel nüfusu 160'tır.
Kahramanmaraş,Pazarcık,Evri Pınarbaşı,61.96,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05052187848,,,,,,60,15/02/23 20:27,"Gücel nüfus: 2000
Çadır ihtiyacı: 100
yıkılan bina sayısı 60 fakat oturulacak durumda olmayan 200 bina"
Kahramanmaraş,Göksun,Mehmetbey,46.96,"Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,40,,,100,,14/02/23 20:56,Günvel nüfus 80 kişidir.
Kahramanmaraş,Göksun,Mahmutbey,47.79,Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,,,,,50,50,14/02/23 16:45,
Kahramanmaraş,Pazarcık,Cengiz Topel,52.70,"Barınma (Çadır, konteyner gibi)",,,,,,,,,55,15/02/23 20:01,Dışarıda yatan yaşlılar ve bebekler var ve çadır ihtiyacı var 
Kahramanmaraş,Göksun,Küçükçamurlu,42.45,Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)",,,,,,,80,,14/02/23 17:05,Güncel nüfus 150. Köyün normal nüfusu 403
Kahramanmaraş,Göksun,Kömürköy,46.67,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Barınma (Çadır, konteyner gibi)",,,,,,100,,14/02/23 17:58,Cenaze çıkarttıkları için anket sürdürülmedi
Adıyaman,Kahta,Burmapınar,30.81,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,70,,130,50,110,11,15/02/23 19:57,22 Çadır almış muhtar. Ama yine de çadır isteniyor. Sadece kuru gıda ihtiyacı artabilir
Adıyaman,Kahta,Esendere,30.44,"Barınma (Çadır, konteyner gibi)",,,,,,,,,14,15/02/23 17:00,"nüfus 700, gelen nüfus 700. çadır var ama kuramıyorlar."
Kahramanmaraş,Göksun,Korkmaz,33.52,,Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)",,,,,,230,15,14/02/23 16:23,Köyün nüfusu 503 güncel nüfus 450
Kahramanmaraş,Göksun,Kireçköy,35.82,"Hijyen ve sağlık( Ped, bebek be",,,,,,,,11,4,14/02/23 16:14,
Kahramanmaraş,Göksun,Kızılöz,28.80,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",05312979324,,75,,,,,14/02/23 16:05,Yollar açık ancak sadece küçük araçlar geçebilir.
Kahramanmaraş,Göksun,Kamışçık,36.85,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)","Hijyen ve sağlık( Ped, bebek be",,,,,,,3,14/02/23 17:39,"acil olarak 50 adet battaniye, konteyner,kişisel bakım ve hijyen seti, banyo havlusu, konteyner ihtiyaçları var. güncel nüfus 100. baklagil, kuru gıda ve 5 çadır gerekli."
Kahramanmaraş,Göksun,Kaleköy,34.75,"Isınma (El sobası, battaniye)",Diğer,"Barınma (Çadır, konteyner gibi)",05312979324,,,,,,100,14/02/23 15:34,"acil 3 adet ısıtıcı, seyyar tuvalet banyo ihtiyacı var. su yok. güncel nüfus 70. çadır ihtiyacı 3."
Kahramanmaraş,Göksun,Kınıkkoz,25.90,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,180,,,70,,14/02/23 17:07,Normalde 362 olan köy nüfusu güncel olarak 450'dir.
Kahramanmaraş,Göksun,Kaleboynu,57.23,"Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)",,,,,,,0,14/02/23 16:27,"668 güncel nüfus. acil 15 çadır gerekli. acil antibiyotik, ağrı kesici, koah, tansiyon, diyabet ilaçları ihtiyaçları var. gıda ve temizlik malzemesi gerekli."
Kahramanmaraş,Göksun,Keklikoluk,56.87,Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,10,,,140,,14/02/23 17:54,"bypass ameliyatlı olan 97 yaşında yatalak hasta mehmet ağa boybey'in durumu ağır, eşi evde bakıyor,  yardım bekliyorlar.

Güncel nüfus 18 fakat çok sayıda yapı var."
Kahramanmaraş,Göksun,Huğtaş,45.83,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,14/02/23 17:13,güncel nüfus 82. acil 10 çadır gerekli. 
Kahramanmaraş,Göksun,Kazandere,53.19,"Barınma (Çadır, konteyner gibi)",,,,,300,,,100,,14/02/23 17:16,600 güncel nüfus 
Kahramanmaraş,Göksun,Kavşut,51.47,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,05068173659,,125,,,65,1,14/02/23 16:43,Köy nüfusu 362 güncel nüfus 250
Kahramanmaraş,Göksun,Karaömer,39.54,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05312979324,,200,,,164,14,14/02/23 16:36,
Kahramanmaraş,Göksun,Karadut,33.38,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,,250,,,250,62,14/02/23 15:58,Köyün nüfusu 1.403 gözüküyor güncel olarak 500 denilmiş durumda
Kahramanmaraş,Göksun,Karaahmet,34.88,"Hijyen ve sağlık( Ped, bebek be",,,05448590463,,25,,,34,14,14/02/23 15:50,Su kesik 
Kahramanmaraş,Göksun,Kanlıkavak,41.59,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,750,,,250,10,14/02/23 15:44,
Kahramanmaraş,Göksun,Harbiye,39.17,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,14/02/23 16:19,"güncel nüfus 2600. acil 40 çadır ve kuru gıda, kahvaltılık gerekli."
Kahramanmaraş,Elbistan,Yapraklı,56.17,Diğer,,,05414967848,,700,,,180,3,13/02/23 18:23,
Kahramanmaraş,Göksun,Hacıömer,36.70,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,05312979324,,,,,,,14/02/23 16:16,güncel nüfus 100. 5 çadır ihtiyacı var. kuru gıda  ve kömür gerekli. 
Kahramanmaraş,Göksun,Hacımirza,39.94,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,,,,,4,14/02/23 16:00,güncel nüfus 350. acil 15 çadır ihtiyacı var. su yok. kuru gıda gerekli. hijyen temizlik ürünleri gerekli.
Kahramanmaraş,Elbistan,Yapılıpınar,83.96,Diğer,"Kıyafet(Ayakkabı, çorap, iç çam",,,,10,,,5,,13/02/23 18:14,Hayvanlar için ACİL çadır
Kahramanmaraş,Göksun,Hacıkodal,48.84,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,14/02/23 16:04,güncel nüfus 350. acil 20 çadır ve gıda ihtiyacı var. hijyen temizlik ürünleri gerekli
Kahramanmaraş,Elbistan,Türkören,72.24,Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)",,,,300,,,80,,13/02/23 18:31,
Kahramanmaraş,Elbistan,Toprakhisar,85.72,,,,,,30,,,10,0,13/02/23 18:25,"köyün deposu var, köy bölge için bir dağıtım merkesine dönüşmüş durumda, başka köylere de erzak yolluyorlar, muhtar çevre köylere de bu depodan dağıtım yapıyor, gerekirse AFAD'la böyle bir işbirliğine açık"
Kahramanmaraş,Elbistan,Tepebaşı,70.15,"Isınma (El sobası, battaniye)","Gıda (ekmek,su,paketli gıda)",,05375588087,,25,,,15,0,13/02/23 18:18,
Kahramanmaraş,Elbistan,Tapkırankale,80.82,"Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)",,,75,,,35,18,13/02/23 18:08,
Kahramanmaraş,Göksun,Güller,45.16,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,,,,,26,14/02/23 15:53,güncel nüfus 600. 70 acil çadır ihtiyacı var. kuru gıda gerekli. 
Kahramanmaraş,Elbistan,Köseyahya,70.34,"Kıyafet(Ayakkabı, çorap, iç çam","Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,25,,,15,0,13/02/23 18:00,Gelmeden önce haber verilsin.
Kahramanmaraş,Göksun,Güldağ,39.46,"Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",,,,,,,3,14/02/23 16:11,"güncel nüfus 200. 20 acil çadır gerekli. 6 13 yaş bot ve mont acil gerekli. kuru gıda ihtiyacı var. ped, deterjan, şampuan, hijyen ürünleri, hasta bezi, hayvan yemi acil gerekli. muhtarın aracı var yetkililer ulaşırsa gidip alabileceğini söyledi"
Kahramanmaraş,Elbistan,Kangal,76.65,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,,60,,,20,2,13/02/23 17:51,
Kahramanmaraş,Göksun,Gücüksu,34.05,,,,05312979324,,,,,,110,14/02/23 17:16,konteynırlarda elektrik yok. hayvanlar için yem gerekli.
Kahramanmaraş,Göksun,Göynük,58.67,"Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",Tıbbi yardım malzemeleri,,,,,,,,14/02/23 15:47,"kuru gıda, odun kömür, hijyen ürünleri, hayvan yemi ve ağrı kesici gerekli. "
Kahramanmaraş,Göksun,Gölpınar,35.73,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,14/02/23 15:43,Güncel nüfus 350. acil çadır ihtiyacı 10. 
Kahramanmaraş,Elbistan,Kalaycık,72.24,Tıbbi yardım malzemeleri,Diğer,,05306556586,,60,,,20,2,13/02/23 17:48,
Kahramanmaraş,Elbistan,Izgın,55.55,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,,,2500,,,350,8,13/02/23 17:45,
Kahramanmaraş,Elbistan,İkizpınar,76.49,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,,,,,,,13/02/23 17:42,
Kahramanmaraş,Elbistan,Hasankendi,57.65,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,300,,,100,4,13/02/23 17:33,
Kahramanmaraş,Elbistan,Hacıhasanlı,73.63,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,100,,,25,,13/02/23 17:30,
Kahramanmaraş,Göksun,Fındıklıkoyak,38.65,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,,,,,,14/02/23 17:39,"güncel nüfus 800. acil 20 çadır ihtiyacı var. genel gıda ihtiyacı var. hayvan yemi, soba, hijyen ürünleri ve temizlik malzemeleri. sular donmuş"
Kahramanmaraş,Elbistan,Güvercinlik,57.53,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,05426658579,,750,,,75,3,13/02/23 17:18,
Kahramanmaraş,Göksun,Fındıkköy,33.15,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,,14/02/23 15:33,"güncel nüfus 100. 7 acil çadır ihtiyacı var. kuru gıda, hijyen ürünleri, deterjan ihtiyaçları var. yardımların muhtara iletilmesini isteniyor, ihtiyaca göre dağıtım olmuyormuş"
Kahramanmaraş,Elbistan,Gümüşdöven,50.99,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,05324583899,,250,,,25,0,13/02/23 17:11,
Kahramanmaraş,Ekinözü,Kabaktepe,32.32,"Barınma (Çadır, konteyner gibi)",,,,,,,,,20,13/02/23 18:34,"nüfus 700.180 bina var 20si dışında hepsi hasarlı ya da yıkılmış 
"
Adıyaman,Kahta,Erikdere,25.51,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,,,15/02/23 16:57,"8 çadır gelmiş, 8 çadır daha gerekli. yollarda çatlak var. 350-400 nüfus var. 20 aile gelmiş, 2-3 aile gitmiş. boş ve eski yapılar yıkılmış."
Kahramanmaraş,Elbistan,Elmalı,78.57,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,15,,,,,13/02/23 16:47,
Kahramanmaraş,Ekinözü,Gaziler,33.49,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,13/02/23 18:39,"nüfus 500. binaların hepsi hasarlı, çatlak
"
Adıyaman,Kahta,Elbeyi,40.55,,,,,,,,,,0,15/02/23 16:56,350-400 nüfus var. 80 aile gelmiş. ihtiyaç yok.
Adıyaman,Kahta,Ekinci,44.53,,,,,,,,,,10,15/02/23 16:49,150 nüfus var. 5 aile gelmiş. ihtiyaç yok.
Kahramanmaraş,Elbistan,Demircilik,66.55,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,05357113743,,300,,,,5,13/02/23 16:47,
Kahramanmaraş,Ekinözü,Demirlik,23.87,"Barınma (Çadır, konteyner gibi)",,,,,,,,,0,13/02/23 18:27,"nüfus 300. binaların yüzde 80i hasarlı
"
