İl,İlçe,Köy,Merkeze uzaklık (km),Birincil Öncelik,İkincil,Üçüncül,Telefon,Çocuk,Kadın,Yetişkin,Yaşlı,Hane,Yıkılan,Bilgi Alınan Vakit,Ek
Kilis,Merkez,Kuskunkıran,2.68,,,,,,,,,,0,15/02/23 16:08,güncel nüfus 40. 
Kilis,Merkez,Kocabeyli,19.85,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,15/02/23 16:27,"güncel nüfus 500. elektrik yok. 20 çadır ve kuru bakliyat gerekli.  bebek bezi ve maması. kömür, odun, içme suyu gerekli."
Kilis,Merkez,Karamelik,9.84,,,,,,,,,,10,15/02/23 16:04,güncel nüfus 350. 2-3 ton yem gerekli
Kilis,Merkez,Karaçavuş,20.06,,,,05353480166,,,,,,,15/02/23 16:00,güncel nüfus 400.  kömür gerekli.
Kilis,Merkez,Karacaören,11.67,,,,,,,,,,4,15/02/23 17:36,güncel nüfus 300. kömür ve 2000 küçükbaş 500 büyükbaş için yem gerekli. 
Kilis,Merkez,Kapdeğirmeni,10.08,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,1,15/02/23 17:34,güncel nüfus 200.  20 kişi için kuru gıda ve giyecek ihtiyacı var. 
Kilis,Merkez,Hisarköy,33.32,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,82,0,15/02/23 17:26,"82 haneye ek misafirler var. 1 çadır gerekli. gıda ve giyecek ihtiyacı var.  hasar tespiti yapılmamış. depremzede misafirler var ancak çadır ihtiyacı belirtilmedi. sadece köyde evi hasarlı bir aile kendi imkanlarıyla yaptığı çadırda kalıyor, onun için çadır istendi."
Kilis,Merkez,Hıcıpoğlu,16.68,,,,05324075897,,,,,,5,15/02/23 17:18,misafirlerle 150 kişi. hasar tespiti yapılmış. 100 civarı hayvan içim yem desteği gönderilebilir
Kilis,Merkez,Güvenli,10.83,,,,05437499380,,,,,,5,15/02/23 17:10,güncel nüfus 300den fazla. içine girilemeyecek binalar için hasar tespit ekipleri acilen bekleniyor. dışarıdan gelenlerin ve asıl nüfusun diğer ihtiyaçları karşılanmış
Kilis,Merkez,Güneşli,24.09,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,1,15/02/23 18:54,"güncel nüfus 400. acil 2 çadır, bebek bezi, bebek maması gerekli. gıda, ısıtıcı, yem ihtiyacı var."
Kilis,Merkez,Gözkaya,28.41,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,0,15/02/23 16:03,"10 hane için gıda desteği, 10 hane için giyim desteği gerekli."
Kilis,Merkez,Dölek,18.79,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,65,5,15/02/23 16:32,"70 kişi misafir gelmiş. bebek bezi ve 4 no. hasta bezi gerekli. acil 5 çadır gerekli. çadır ve kömür ihtiyacı acil. 5 ev yıkılmış ve barınılamayacak durumda olan hasarlı evler var. köyün su faturası borcu olduğu için suları kesik, muhtar yetkililerle görüşmüş yarın tekrar görüşecek."
Kilis,Merkez,Doğançay,9.82,"Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",,,,,,,,,15/02/23 18:54,güncel nüfus 170. acil hayvan yemi gerekli. çocuk/yetişkin mont 15 ayakkabı gerekli.  çocuk bezi gerekli. 15 hasarlı ev için ekip isteniyor.
Kilis,Merkez,Deliosman,37.40,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,15/02/23 16:16,"güncel nüfus 600. acil 20 çadır ve gıda, bebek bezi, maması gerekli. acil yem gerekli. acil odun gerekli. "
Kilis,Merkez,Deliçay,14.81,,,,,,,,,20,0,15/02/23 16:14,"birkaç evde ufak hasar dışında sıkıntı yok, antep'ten gelen akrabanın engelli çocuğu varmış ancak herhangi bir ihtiyaçları yok "
Kilis,Merkez,Çukuroba,1.78,,,,,,,,,,0,15/02/23 16:15,"Ahır yıkıldığı için hayvanlar zor durumda, yem ihtiyacı istendi.Hasar tespiti istendi. 5 çadır gerekli."
Kilis,Merkez,Çalkaya,27.29,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",05333653042,,,,,10,4,15/02/23 16:00,"en az 10 aile var. acil 10 çadır, gıda, bebek bezi, maması, kömür, hijyen malzemeleri ve giyecek gerekli. çok acil kömür ve en az 10 çadır lazım. Jandarma gelmiş fakat köyün ihtiyaçları sağlanamamış"
Kilis,Merkez,Ceritler,12.79,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,,,,45,8,15/02/23 15:46,"10 çadır, gıda, battaniye, bebek bezi gerekli"
Kilis,Merkez,Büyükkonak,8.90,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Isınma (El sobası, battaniye)",,,,,,,,15/02/23 15:46,"güncel nüfus 70. 2 ailenin gıda ihtiyacı var. 20 kaban gerekli.  2 elektrikli ısıtıcı gerekli. diyaliz hastası böbrek nakli olmuş olabilir, muhtar hala diyalize girip girmediğini bilmiyor"
Kilis,Merkez,Bulamaçlı,29.39,"Isınma (El sobası, battaniye)",,,,,,,,,1,15/02/23 15:40,güncel nüfus 700.  1 ev için ısıtıcı gerekli.
Kilis,Merkez,Beşikkaya,8.68,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,15/02/23 15:32,"güncel nüfus 500. acil 2 çadır gerekli. kuru gıda gerekli ve 6 ailenin genel kıyafet ihtiyacı var. okul yıkılmış, çevresindeki binalar da hasar görmüş. bebek maması ve bez, temizlik ürünleri gerekli."
Kilis,Merkez,Beşenli,7.94,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,15/02/23 15:20,"güncel nüfus 180. 1 çadır gerekli. 15 ailenin gıda ihtiyacı var ve çocuk kıyafetleri gerekli. yetişkin bezi, ped gerekli.  acil yem gerekli. "
Kilis,Merkez,Arpakesmez,12.50,,,,,,,,,,0,15/02/23 15:07,hasarlı binalar için acilen hasar tespit ekiplerinin gelmesi gerekli.
Kilis,Merkez,Akıncı,13.74,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,,15/02/23 16:04,güncel nüfus 200. gıda ve çocuk kıyafetine ihtiyaç var.  hasarlı binalar var. Antep'ten gelen depremzedelerin temel ihtiyaçları var. 
Kilis,Merkez,Akçabağlar,13.92,,,,,,,,,,0,15/02/23 13:25,
Kilis,Merkez,Acar,6.11,"Barınma (Çadır, konteyner gibi)",,,05437499380,,,,,,0,14/02/23 19:29,güncel nüfus 500. 6 adet çadır gerekli. 
Kilis,Musabeyli,Zeytinbağı,20.79,,,,05304960534,,,,,,,15/02/23 14:13,Güncel nüfus 200 kişi.
Kilis,Musabeyli,Yuvabaşı,17.42,"Barınma (Çadır, konteyner gibi)",Diğer,,,,,,,,,15/02/23 17:21,Güncel nüfus 400 kişi.
Kilis,Musabeyli,Yukarıkalecik,24.12,,,,05368866729,,,,,,,15/02/23 15:21,Güncel nüfus 190 kişi.
Kilis,Musabeyli,Yukarıbademli,25.64,"Barınma (Çadır, konteyner gibi)",,,05369688310,,,,,,,15/02/23 15:17,Güncel nüfus 90 kişi.
Kilis,Musabeyli,Yedigöz,28.14,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,05369688310,,,,,,,15/02/23 15:18,Güncel nüfus 1000 kişi.
Kilis,Musabeyli,Yastıca,24.65,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",,,,,,,3,15/02/23 15:13,Güncel nüfus 150 kişi.
Kilis,Musabeyli,Üçpınar,20.26,,,,05318975816,,,,,45,,15/02/23 15:13,Güncel nüfus 300 kişi.
Kilis,Musabeyli,Topallar,34.20,"Hijyen ve sağlık( Ped, bebek be",,,05325101329,,,,,,,15/02/23 15:05,Güncel nüfus 245 kişi.
Kilis,Musabeyli,Tahtalıkaradut,26.78,"Barınma (Çadır, konteyner gibi)",,,05369688310,,,,,373,5,15/02/23 15:02,
Kilis,Musabeyli,Sabanlı,19.41,Tıbbi yardım malzemeleri,,,,,,,,,4,15/02/23 14:08,Güncel nüfus 600 kişi.
Kahramanmaraş,Andırın,Kargaçayırı,32.24,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,,,,,0,13/02/23 20:46,"nüfus 370, 15 çadır, 5 ısıtıcı lazım. 7 tane bebek var."
Kahramanmaraş,Andırın,Kıyıkçı,66.09,"Barınma (Çadır, konteyner gibi)",,,,,,,,,0,13/02/23 20:53,"nüfus 300, 5 bebek var. 8 çadır lazım."
Kahramanmaraş,Andırın,Karapınar,53.64,"Barınma (Çadır, konteyner gibi)",,,03445612218,,,,,,0,13/02/23 14:56,300 nüfus. 1 çadır ihtiyacı var.
Kahramanmaraş,Andırın,Kabaağaç,61.93,"Barınma (Çadır, konteyner gibi)",,,,,,,,,3,13/02/23 14:55,400 nüfus. 7 çadır ihtiyacı var.
Kahramanmaraş,Andırın,Kızık,60.08,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05386884271,,,,,,0,13/02/23 20:59,nüfus 900 15 tane çadır ve ısıtıcı gerekli
Kahramanmaraş,Andırın,Gökgedik,36.19,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,14/02/23 14:37,450 nüfus. 35 çadır ihtiyacı var.
Kahrmanmaraş,Andırın,Köklü,47.22,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,,0,13/02/23 21:11,"nüfus 600 3 tane çadır, 3 tane ısıtıcı"
Kahramanmaraş,Andırın,Köleli,58.68,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,,0,13/02/23 09:03,nüfus 170. 15 tane çadır ve ısıtıcı lazım.
Kahramanmaraş,Andırın,Kuzgun,55.05,,,,,,,,,,0,13/02/23 09:24,nüfus 800. İhtiyaç yok
Kahramanmaraş,Andırın,Orhaniye,43.20,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Isınma (El sobası, battaniye)",05335636911,,,,,,0,13/02/23 21:20,"nüfus 500.  100 kişilik gıda, giyecek ve battaniye lazım. 5 tane bebek var. yıkılan bina  yok ama ağır hasarlı 2 bina avr


"
Kahramanmaraş,Andırın,Osmancık,45.97,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Isınma (El sobası, battaniye)",05338153447,,,,,,0,13/02/23 21:37,"nüfus 400.2 kız çocuk 10 ve 8 yaşında 2 erkek 2 kadın için giyecek. 10 kişilik gıda 
"
Kahramanmaraş,Andırın,Gökçeli,47.72,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,0,14/02/23 14:35,400 nüfus. 5 çadır ve acil gıda ihtiyacı var.
Kahramanmaraş,Andırın,Gökahmetli,65.08,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,14/02/23 14:33,200 nüfus. 10 çadır ihtiyacı var.
Kahramanmaaraş,Andırın,Rıfatiye,49.21,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,0,14/02/23 11:42,"nüfus 50, hasarlı binalar var hasar tespiti yapılmamış. köye yardım gitmediği için her alanda yardım ihtiyaçları var
"
Kahramanmaraş,Andırın,Geben,33.88,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,05376328703,,,,,,,14/02/23 14:31,3000 nüfus. 50 çadır ihtiyacı.
Kahramanmaraş,Andırın,Erenler,61.12,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,14/02/23 14:30,15 çadır ihtiyacı var. ağır hasarlı binalar var*hassar tespit isiyorlar.
Kahramanmaraş,Andırın,Emirler,38.39,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,3,14/02/23 14:24,600 güncel nüfus. 15 çadır ihtiyacı var. cami ağır hasarlı- riskli
Kahramanmaraş,Andırın,Sumaklı,55.41,,,,05306903261,,,,,,0,14/02/23 00:09,"nüfus 200. binalarda ufak hasarlar var ve hasar tespiti yetkililerce yapılmış
"
Kahramanmaraş,Andırın,Yeniköy,42.94,,,,,,,,,,0,13/02/23 21:24,"nüfus 800. şu anlık gıda ihtiyacı yok lakin dışardan gelmeye devam eden insanlar var. hasar tespiti yetkililerce yapıldı
"
Kahramanmaraş,Andırın,Yeşilova,58.52,"Barınma (Çadır, konteyner gibi)",,,,,,,,,10,13/02/23 21:19,"Nüfus 3000. hasarlı binalar var onlar da yetkililerce tespit ediliyor. 35 çadır dendi fakat 1000 hane var. sadece çadır ihtiyaçları var. 
"
Kahramanmaraş,Andırın,Efirağızlı,51.47,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,,,,,,0,14/02/23 14:22,1150 güncel nüfus. 15 çadır ihtiyacı var.
Kahramanmaraş,Andırın,Darıovası,44.26,"Barınma (Çadır, konteyner gibi)",,,,,,,,,0,14/02/23 14:20,güncel nüfus 750. 15 çadır ihtiyacı var.
Kahramanmaraş,Andırın,Yeşiltepe,42.78,,,,,,,,,,0,16/02/23 14:16,"nüfus 500. hasarlı binalar var onlar da yetkililerce tespit edilmiş.
"
Kahramanmaraş,Andırın,Çuhadarlı,41.09,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",,,,,,,,,14/02/23 14:19,450 güncel nüfus. 20 çadır ihtiyacı var. 
Kahramanmaraş,Andırın,Çokak,44.53,,,,05392630722,,,,,,,14/02/23 14:16,ihtiyaç yok.
Kahramanmaraş,Andırın,Camuzluk,51.75,"Barınma (Çadır, konteyner gibi)",,,05356413487,,,,,,4,13/02/23 14:14,güncel nüfus 150.  5 çadır ihtiyacı var.
Kahramanmaraş,Andırın,Cambaz,45.78,,,,05368274583,,,,,,,13/02/23 13:46,350 depremzede dışarıdan gelen var. 
Kilis,Musabeyli,Madenyolu,25.91,Tıbbi yardım malzemeleri,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",05442312523,,,,,,5,15/02/23 15:47,Güncel nüfus 400 kişi.
Kilis,Musabeyli,Kürtüncü,23.15,"Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",,,,,,,,5,15/02/23 12:29,Güncel nüfus 300 kişi.
Kahramanmaraş,Andırın,Bulgurkaya,57.13,"Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,,13/02/23 13:44,güncel nüfus 800. acil 50 kişil çadır ihtiyacı. en az 100 kişilik kıyafet ihtiyacı var.
Kahramanmaraş,Andırın,Boğazören,49.09,"Barınma (Çadır, konteyner gibi)",,,,,,,,,,13/02/23 13:41,güncel nüfus 300. 2 çadır ihtiyacı var. 
Kahramanmaraş,Andırın,Beşbucak,59.10,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,0,13/02/23 13:38,1200 yerli 600 gelen depremzede. 150 çadır ihtiyacı var.  HİÇ ÇADIR ULAŞMAMIŞ ACİL. öncelikli olarak 600 kişi için gıda ve kıyafet ihtiyacı var. 
Kahramanmaraş,Andırın,Bektaşlı,62.32,,,,05399767687,,,,,,,13/02/23 13:37,"500 yerli, 200 dışardan insan var. ihtiyaçları kaymakamlığa bildirmişler bekliyorlarmış herhangi bir ihtiyaç yok dedi."
Kahramanmaraş,Andırın,Arıklar,46.25,"Gıda (ekmek,su,paketli gıda)",,,,,,,,,0,13/02/23 13:35,gıda yardımı ulaşmış geldiği takdirde tekrar dağıtabileceklerini söyledi onun dışında şuan köyde bir ihtiyaç yok.
Kahramanmaraş,Andırın,Anacık,61.14,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Teknik yardım (Powerbank,el fen",,,,,,,,13/02/23 12:44,dışarıdan 160 kişi gelmiş.5 çadır ihtiyacı var.
Kilis,Musabeyli,Kurtaran,20.06,"Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be","Isınma (El sobası, battaniye)",05304960534,,,,,,,15/02/23 11:33,Güncel nüfus 500 kişi.
Kilis,Musabeyli,Körahmethüyüğü,28.22,,,,05374126596,,,,,,5,15/02/23 11:18,Güncel nüfus 500 kişi.
Kilis,Musabeyli,Kozlubağ,23.23,Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",05385624762,,,,,,1,15/02/23 11:17,Güncel nüfus 200 kişi.
Kilis,Musabeyli,Kolpınar,26.01,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Isınma (El sobası, battaniye)",05369688310,,,,,,1,15/02/23 11:14,Güncel nüfus 150 kişi.
Kilis,Musabeyli,Kızılkent,26.43,Tıbbi yardım malzemeleri,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",05369688310,,,,,,2,15/02/23 11:13,Güncel nüfus 400 kişi.
Kilis,Musabeyli,Karbeyaz,18.56,"Barınma (Çadır, konteyner gibi)",,,05373155074,,,,,,,15/02/23 11:12,Güncel nüfus 150 kişi.
Kahramanmaraş,Onikişubat,Zeytindere,27.89,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,05336216568,,,,,,0,13/02/23 12:42,"7500 nüfus. Çadır ihtiyacı 100 belirtildi ama 20 tanesi acil dendi. tüp, kömür, odun vs. yaklaşık 100 tüp 50 ton kömür ihtiyacı belirtildi
"
Kilis,Musabeyli,Hüseyinoğlu,25.19,"Hijyen ve sağlık( Ped, bebek be",,,,,,,,,8,15/02/23 11:09,Güncel nüfus 800 kişi.
Kahramanmaraş,Onikişubat,Yolyanı,32.72,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)",Tıbbi yardım malzemeleri,05386774337,,,,,,0,13/02/23 12:40,1500 nüfus. kardan yollar kapalı.
Kahramanmaraş,Onikişubat,Yeşilyurt,49.59,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",,,,,,,20,13/02/23 12:38,5000 nüfus. 30 çadır ihtiyacı var.
Kahramanmaraş,Onikişubat,Yenidemir,20.66,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",,05315541743,,,,,,,14/02/23 12:36,"2000 nüfus, 30 çadır ihtiyacı."
Kahramanmaraş,Onikişubat,,27.90,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",05327372515,,,,,,4,14/02/23 12:35,1000 nüfus. 10 çadır ihtiyacı.
Kilis,Musabeyli,Hasancalı,31.12,"Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be","Isınma (El sobası, battaniye)",05369688310,,,,,,,15/02/23 11:03,Güncel nüfus 2000 kişi. 
Kahramanmaraş,Onikişubat,Topçalı,37.83,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,05388532211,,,,,,20,14/02/23 12:33,3000 nüfus. 35 çadır ihtiyacı.
Kahramanmaraş,Onikişubat,Tekir,21.31,"Barınma (Çadır, konteyner gibi)",,,05077686221,,,,,,250,14/02/23 12:31,4000 nüfus.260 çadır ihtiyacı.
Kahramanmaraş,Onikişubat,Suluyayla,37.59,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Hijyen ve sağlık( Ped, bebek be",05383913066,,,,,,10,14/02/23 12:28,20 çadır ihtiyacı.
Kahramanmaraş,Onikişubat,Süleymanşah,23.24,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",05388280828,,,,,,1,16/02/23 11:42,"15000 nüfus. 50 çadır ihtiyacı. bebekler ve çocuklar soğuk almış ve hastalar ilaç lazım, acil çadır ihtiyacı hiçbir şey göndermezseniz bile çadır gönderin dendi."
Kilis,Musabeyli,Gündeğer,24.49,,,,05368866729,,,,,,20,15/02/23 11:01,Güncel nüfus 200 kişi.
Kilis,Musabeyli,Gökmusa,15.71,"Gıda (ekmek,su,paketli gıda)","Isınma (El sobası, battaniye)",Diğer,,,,,,,,15/02/23 10:56,Güncel nüfus 250 kişi.
Kilis,Musabeyli,Geçitboyu,20.27,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",,,,,,,,15/02/23 10:51,Güncel nüfus 160 kişi.
Kilis,Musabeyli,Fırlaklı,21.10,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",05442312523,,,,,,2,15/02/23 10:45,Güncel nüfus 200 kişi.
Kilis,Musabeyli,Dutluca,18.73,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",,05432272644,,,,,,2,15/02/23 10:32,
Kilis,Musabeyli,Dorucak,24.21,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam",Diğer,05354165400,,,,,,,15/02/23 10:28,"Güncel nüfus 300, köye gelen sayısı 50 kişi."
Kilis,Musabeyli,Delifakikaradut,26.69,,,,,,,,,112,,15/02/23 10:15,Güncel nüfus 300 kişi. 
Kilis,Musabeyli,Çınar,27.16,,,,05437499380,,,,,100,30,15/02/23 09:39,
Kilis,Musabeyli,Çayıraltı,22.35,Diğer,,,05369688310,,,,,,4,15/02/23 09:34,Güncel nüfus 150 kişi.
Kilis,Musabeyli,Bozkaya,29.31,Diğer,,,05374126596,,,,,,100,15/02/23 09:35,Güncel nüfus 370 kişi.
Kahramanmaraş,Onikişubat,Süleymanlı,10.33,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",05388280828,,,,,,0,16/02/23 11:40,1300 nüfus. 20 çadır ihtiyacı var.
Kahramanmaraş,Onikişubat,Suçatı,12.20,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",05325132100,,,,,,,14/02/23 11:39,5500 nüfus. 50 çadır ihtiyacı var.
Kilis,Musabeyli,Belentepe,21.15,Diğer,,,05368866729,,,,,,20,15/02/23 09:32,Güncel nüfus 250 kişi.
Kahramanmaraş,Onikişubat,Selimiye,32.61,"Barınma (Çadır, konteyner gibi)","Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",05353132138,,,,,,6,14/02/23 11:37,10000 nüfus. 300 çadır ihtiyacı.
Kilis,Musabeyli,Aşağıbademli,22.95,"Barınma (Çadır, konteyner gibi)",,,05304960534,,,,,,,15/02/23 09:29,Güncel nüfus 200 kişi.
Kahramanmaraş,Onikişubat,Saygılı,34.25,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)",Tıbbi yardım malzemeleri,05327372515,,,,,,15,14/02/23 11:34,"günzel nüfus 1500. 50 çadır ihtiyacı var.  hasarlı binalar var, sular donmuş, "
Kilis,Musabeyli,Ağcakent,25.58,,,,05364879374,,,,,,,15/02/23 09:28,Güncel nüfus 130 kişi.
Kahramanmaraş,Onikişubat,Sarımollalı,28.18,"Gıda (ekmek,su,paketli gıda)","Hijyen ve sağlık( Ped, bebek be",,05362918477,,,,,,,14/02/23 11:32,nüfus 500.
Kahramanmaraş,Onikişubat,Sarıgüzel,17.33,"Gıda (ekmek,su,paketli gıda)","Barınma (Çadır, konteyner gibi)","Kıyafet(Ayakkabı, çorap, iç çam",05302843344,,,,,,30,16/02/23 11:30,güncel nüfus 1300. 120 çadır ihtiyacı var.
Kahramanmaraş,Onikişubat,Sarıçukur,13.53,"Gıda (ekmek,su,paketli gıda)","Kıyafet(Ayakkabı, çorap, iç çam","Hijyen ve sağlık( Ped, bebek be",05362918477,,,,,,,14/02/23 11:29,güncel nüfus 1000. içme suları var. gıda ve iç çamaşırı ihtiyacı var.
