il	ilce	koy
ŞANLIURFA	VİRANŞEHİR	KURTULMUŞ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KUMÇEŞME KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KUCAK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KOŞULU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KONAKYERİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KOLAĞASI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KIRLIK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KIRKGÖZ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KIRBALI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KINALITEPE KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KERVANSARAYI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KEMERLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KEÇELİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KAVURGA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KARINCA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KARGALI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KARATAŞ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	KARAKUZU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	İNCİRLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	IŞILDAR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÜZLEK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÜRPINAR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÜLERYÜZ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖZLER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖZELİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖNÜLLÜ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖMÜLÜ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖLCÜK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖKTEPE KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GÖĞERLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	GERMEN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	EVCİMEN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	EŞKİN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ESKİKALE KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ESER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ENGELLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ELGÜN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ELBEĞENDİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	EKİNDÖVER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	EKİNCİLER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DİNÇKÖK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DİNÇER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DİKİLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DEMİRCİ B.M KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DEĞİM KÖYÜ
ŞANLIURFA	VİRANŞEHİR	DEFTERDAR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÇOKRAN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÇİFTEKUYU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÇİFTÇİLER KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ÇAMURLU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BÜYÜKMUTLU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BÜYÜKGÖRÜMLÜ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BÜYÜKÇAVUŞ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BÜYÜKBARDACIK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BURÇ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BOZCA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BİNEKLİ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BEĞRÜK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BAŞARAN KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BALLICA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	BAKIMLI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	AYAKLI KÖYÜ
ŞANLIURFA	VİRANŞEHİR	AŞAĞITINAZ KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ASLANBABA KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ARITIR KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ARISU KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ALTINBAŞAK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	ALAKONAK KÖYÜ
ŞANLIURFA	VİRANŞEHİR	AKKESE KÖYÜ
ŞANLIURFA	VİRANŞEHİR	AKÇATAŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUSUFKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUSUF KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIYAZICI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIKOYMAT KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIKOŞMA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIHEMEDAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIÇAYKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YUKARIAKÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YOLYAZI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YOLBİLİR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YOLBAŞI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YOĞUNBURÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YILDIZ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YIĞINAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEŞİLYURT KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEŞİLTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEROLUK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YENİSU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YENİCE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEMİŞLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEDİYOL KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YEDİKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAZILIKAVAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAYLACIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAYKILIÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAŞAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YARIMTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YARIMSU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YARDIMCI B.M KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YANIKÇÖĞÜR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAMAÇALTI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	YAĞMURLU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	VERGİLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÜZÜMKARA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÜZERLİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÜÇKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÜÇKONAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÜÇGÖZE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	UZUNCUK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	UMUT KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	UMUROBA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ULUHAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ULUCANLAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ULUBAĞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ULAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TÜRKMEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TÜLMEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TUZLUCA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TURLUK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TOPRAKLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TERZİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TEPEDİBİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TEKYAMAÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TATBURCU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TAŞLICA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	TARLABAŞI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞEYHZELİHA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞEYHÇOBAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞENOCAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞEKER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞAHİNLER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ŞAHİN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SUMAKLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SULTANTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SEYRANTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SENDEBELEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SELMAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SEKSENÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SEFALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SARPDERE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SARITAŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SARIŞEYH KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SARIM KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SANCAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SAKÇA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	SAĞLIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	PINARBAŞI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	PERŞEMBE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	PAYAMLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	PAYAMLI B.M KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	PARMAKKAPI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖZLÜ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖZGEDİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖVERLER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖRENLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖRENCİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖRCÜNLÜ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÖĞÜTÇÜ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OZANLAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OVABEYLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OTLUKALAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OSMANBEY KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ORTAÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ORTAHEMEDAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OLUKYANI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OLGUNLAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	OĞULBEY KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	NOKTA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	NADİRE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MUTLUKAYA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MUTLUCA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MUSTAFACIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MİLLİSARAY KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MİL KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MİHRAPLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MEHMETÇİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MAŞUK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MAMUCA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	MAĞARACIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	LÜLECİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜPELİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜLÜNÇE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜLAFLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜÇÜKSENEMAĞARA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜÇÜKHAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜÇÜKDÜZLÜK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÜÇÜKALANLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KUYUCAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KUŞLUCA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KURUCUK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KUBACIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÖSECİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÖRKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÖPRÜLÜK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KÖKSÜREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KORUKEZEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KONAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KONAÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KOÇÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KOÇAK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIZLAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIZILPINAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIZILKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIZILBURÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIRKPINAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIRKMAĞARA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KIRÇİÇEĞİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KINALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KESME KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KESKİN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEREMLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEPİRLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEPEZ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KENGERLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEÇİLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEÇİKIRAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KEBERLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAYNAKLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAYGILI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAYALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAVAKBAŞI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KASIMKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARPUZLU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARGALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARATEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARATAŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARAMAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARAHİSAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KARAALİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAP KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAPAKLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KANOĞLU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KANATLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KALINBAYAT KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KALECİK B.M KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KAHRAMAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	KADIKENDİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İSAÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İRİCE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İNCİRLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İNCİRAĞACI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İNCİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İLHAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İKİZCE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İKİAĞIZ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	İBRİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HÜYÜKLÜ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HORZUM KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HAVŞANLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HANCIĞAZ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HAMZABABA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HAMURKESEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HALİME KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	HACILAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜZELYURT KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜVENLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜRPINAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜNIŞIK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜNGÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜNEŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜNBALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜMÜŞTAŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜMÜŞÖREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜLVEREN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÜÇLÜ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖZELLER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖRENLER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖLPINAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖLGEN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖLDERE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖKTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GÖBEKLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GELİNCİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GELİBOLU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	GAZİBEY KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ESTAĞFURULLAH KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ESEMKULU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ERNEBİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	EMİRLER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	EĞERKIRAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DÜĞER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DURUCA KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DOYUMLU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DOLUTEPE KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DOLUNAY KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DİPHİSAR KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DİLİMLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DİKTAŞ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DİKME KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DERNEK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DERMAN KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DERİNKUYU KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DENİZCİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DEMİRCİK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DALBAŞI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DAĞYANI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	DAĞETEĞİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇUKURDORUÇ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇİFTEKEMER KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇİÇEKLİ KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇIRALI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇEKÇEK KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇATALLI KÖYÜ
ŞANLIURFA	ŞANLIURFA MERKEZ	ÇANAKÇI KÖYÜ
